date,AA,IBM,T,VOD,^GSPC
5/9/2012,19.37309738,139.6498928,21.80122263,17.42195243,1405.030029
6/9/2012,19.87600176,141.7388572,22.07624187,17.4713837,1417.929993
7/9/2012,20.49319816,142.4590273,21.99343512,17.57025102,1434.684998
10/9/2012,20.96180814,143.5232507,22.1383488,17.46520509,1433.859985
11/9/2012,21.13325122,144.7486824,22.2507267,17.53317391,1433.445007
12/9/2012,21.31612434,146.0529723,22.36014332,17.31381644,1436.070007
13/9/2012,21.69329712,147.0060245,22.42816279,17.72164257,1449.549988
14/9/2012,22.52765589,148.2350563,22.15905406,17.62586219,1467.289978
17/9/2012,22.1161912,148.1777914,22.10877196,17.47447397,1461.590027
18/9/2012,21.63615264,148.4715703,22.17088229,17.68764946,1458.799988
19/9/2012,21.85331071,148.1921056,22.32169827,17.52699968,1461.515015
20/9/2012,21.24754725,147.7298548,22.38971363,17.54553206,1455.60498
21/9/2012,21.11038729,148.2924513,22.65883215,17.86684296,1463.289978
24/9/2012,20.7446435,147.2533033,22.68545814,17.82668098,1456.390015
25/9/2012,20.57320287,147.7226869,22.65587815,17.93172296,1452.414978
26/9/2012,20.15030983,146.8663019,22.58785646,17.7339979,1436.065002
27/9/2012,20.39032685,147.2820018,22.53166937,17.77724824,1441.779968
28/9/2012,20.33318129,148.2099977,22.34831394,17.60423093,1441.36499
1/10/2012,20.49319678,150.3814208,22.34831866,17.61350649,1449.02002
2/10/2012,20.32175059,150.4817985,22.41041567,17.6011487,1445.265015
3/10/2012,20.13887945,150.7074696,22.4754798,17.69691973,1448.14502
4/10/2012,20.48176706,150.3133141,22.66770508,17.81432332,1457.109985
5/10/2012,20.99609206,151.1552927,22.74837919,18.09238717,1463.924988
8/10/2012,20.82465143,150.4387075,22.55093399,17.9255479,1457.015015
9/10/2012,20.96180337,149.9335159,22.38339405,17.721634,1448.540039
10/10/2012,20.25317436,148.0846104,22.13807717,17.69383125,1436.580017
11/10/2012,20.10459482,147.9484161,21.94661733,17.7092776,1438.359985
12/10/2012,20.02458444,148.1705816,21.44103344,17.40341445,1431.980042
15/10/2012,19.93314473,149.4963765,21.0192127,17.25820593,1434.275024
16/10/2012,20.3217524,150.6608539,21.17478061,17.28910109,1447.910034
17/10/2012,20.79036705,144.0284381,21.33633011,17.46829479,1457.774963
18/10/2012,20.9618054,141.2515417,21.65643592,17.62894789,1458.325012
19/10/2012,20.40175913,139.4778678,21.35726698,17.59496327,1443.594971
22/10/2012,20.69892972,138.7110668,21.07306193,17.55789059,1428.76001
23/10/2012,20.25317465,137.9299854,21.05511534,17.27056127,1420.650024
24/10/2012,20.11601766,137.5393169,20.33712098,17.15624941,1413.570007
25/10/2012,19.956007,137.2885559,20.6931294,17.12844345,1413.130005
26/10/2012,19.91028536,138.073252,20.68713962,16.93071752,1410.184998
31/10/2012,19.80754453,139.7573267,20.73501086,16.94924694,1412.35498
1/11/2012,19.95664384,140.6172911,20.89356375,17.00795124,1420.274963
2/11/2012,20.00252018,140.2052295,21.02819172,16.68045948,1423.590027
