Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12,0.10060004889965057,0.10103741614327985,0.10060004889965057,0.10060004889965057,469033600,0.0,0.0
1980-12-15,0.09578904834888398,0.09578904834888398,0.0953516811132431,0.0953516811132431,175884800,0.0,0.0
1980-12-16,0.0887904439978845,0.0887904439978845,0.08835308253765106,0.08835308253765106,105728000,0.0,0.0
1980-12-17,0.09053990244865417,0.0909772697531987,0.09053990244865417,0.09053990244865417,86441600,0.0,0.0
1980-12-18,0.09316487610340118,0.09360223756329998,0.09316487610340118,0.09316487610340118,73449600,0.0,0.0
1980-12-19,0.09885057806968689,0.09928794525342984,0.09885057806968689,0.09885057806968689,48630400,0.0,0.0
1980-12-22,0.10366163402795792,0.10409978391737436,0.10366163402795792,0.10366163402795792,37363200,0.0,0.0
1980-12-23,0.1080360859632492,0.10847345344210756,0.1080360859632492,0.1080360859632492,46950400,0.0,0.0
1980-12-24,0.1137218028306961,0.11415917021217986,0.1137218028306961,0.1137218028306961,48003200,0.0,0.0
1980-12-26,0.12421929836273193,0.12465666562421733,0.12421929836273193,0.12421929836273193,55574400,0.0,0.0
1980-12-29,0.12596873939037323,0.1264061065951303,0.12596873939037323,0.12596873939037323,93161600,0.0,0.0
1980-12-30,0.12334459189979903,0.12334459189979903,0.12290723621845245,0.12290723621845245,68880000,0.0,0.0
1980-12-31,0.11984566930166547,0.11984566930166547,0.11940830200910568,0.11940830200910568,35750400,0.0,0.0
1981-01-02,0.12072031944990157,0.12159505350782539,0.12072031944990157,0.12072031944990158,21660800,0.0,0.0
1981-01-05,0.11853357314712598,0.11853357314712598,0.11809621751308441,0.11809621751308441,35728000,0.0,0.0
1981-01-06,0.1132844572330426,0.1132844572330426,0.11284708976745605,0.11284708976745605,45158400,0.0,0.0
1981-01-07,0.10847345344210756,0.10847345344210756,0.1080360859632492,0.1080360859632492,55686400,0.0,0.0
1981-01-08,0.10628661434582014,0.10628661434582014,0.1058492586016655,0.1058492586016655,39827200,0.0,0.0
1981-01-09,0.1115349531173706,0.11197232040283804,0.1115349531173706,0.1115349531173706,21504000,0.0,0.0
1981-01-12,0.11153500057048894,0.11153500057048894,0.11066027730703354,0.11066027730703354,23699200,0.0,0.0
1981-01-13,0.10716132408506053,0.10716132408506053,0.10672395676374435,0.10672395676374435,23049600,0.0,0.0
1981-01-14,0.10716130584478377,0.10759867309165425,0.10716130584478377,0.10716130584478378,14291200,0.0,0.0
1981-01-15,0.10934818536043167,0.11022290861419497,0.10934818536043167,0.10934818536043167,14067200,0.0,0.0
1981-01-16,0.10891080992958807,0.10891080992958807,0.10847344249486923,0.10847344249486923,13395200,0.0,0.0
1981-01-19,0.1150338277220726,0.11547119485424129,0.1150338277220726,0.1150338277220726,41574400,0.0,0.0
1981-01-20,0.11197232040283804,0.11197232040283804,0.1115349531173706,0.1115349531173706,30083200,0.0,0.0
1981-01-21,0.1137218028306961,0.11459652591402623,0.1137218028306961,0.1137218028306961,15904000,0.0,0.0
