date,A,AMZN,HRB,NFLX,TSLA,YAHOY
20/8/2012,24.21840009,239.9249954,11.78257541,9.107857227,5.94900012,6.903614521
21/8/2012,24.26438907,241.2000046,11.87765328,9.37857151,5.900000095,6.894578457
22/8/2012,24.3957815,241.8499985,11.71566976,9.37142849,5.904999971,6.882530451
23/8/2012,24.51403421,241.25,11.59594344,9.28714323,6.049999952,6.798192501
24/8/2012,24.70454842,244.1149979,11.49030045,8.975000381,5.964999914,6.840361118
27/8/2012,24.67170212,245.3099976,11.49734366,9.016428471,5.786999941,6.915663004
28/8/2012,24.42533905,244.8899994,11.39874694,8.982857227,5.737999916,6.807228565
29/8/2012,24.38592505,246.0999985,11.46917044,9.028571606,5.666000128,6.783132553
30/8/2012,24.35308002,247.625,11.63467743,8.824999809,5.684000015,6.743975878
31/8/2012,24.42534173,247.4749985,11.67693627,8.61571455,5.703999996,6.912651062
4/9/2012,24.36621308,247.8300018,11.62059307,7.937857151,5.688999891,6.816265106
5/9/2012,24.24796872,246.9550018,11.51495041,7.857857466,5.630999804,6.843373299
6/9/2012,24.38921434,249.9499969,11.3740957,7.924999952,5.680000067,7.114458084
7/9/2012,24.91476725,256.4700089,11.44100035,8.117856979,5.806999922,7.271084547
10/9/2012,25.21696829,258.4100037,11.5712938,8.045714617,5.664999962,7.421687126
11/9/2012,25.00016914,255.9300003,11.57833696,8.033571482,5.555999994,7.424698591
12/9/2012,24.86878028,255.6399994,11.69536361,8.220714569,5.638000011,7.557228327
13/9/2012,24.85235566,257.9000015,11.830816,8.16214323,5.798000097,7.581325054
14/9/2012,25.79836299,261.9399872,12.01973569,8.551428795,6.029999971,7.584337473
17/9/2012,25.96917187,259.125,11.94488363,8.269285202,6.429000139,7.512048006
18/9/2012,26.0512883,258.75,11.97339692,8.152857304,6.258000135,7.30120492
19/9/2012,26.07099522,260.6849976,12.08746296,8.114285946,6.268000126,7.367469788
20/9/2012,25.79179397,259.4349976,12.13380519,8.227857113,6.218000174,7.406626463
21/9/2012,25.8903336,259.3699951,12.17301439,8.366429329,6.102999926,7.436747074
24/9/2012,25.41405188,254.3000031,12.1302401,8.152143002,6.042999983,7.581325531
25/9/2012,25.37134829,254.9900055,12.15875806,7.904286146,5.700999975,7.581325054
26/9/2012,25.08229007,251.4199982,12.1159826,7.784285307,5.587999821,7.442770958
27/9/2012,25.31550585,253.9599991,12.26212889,7.87571454,5.614000082,7.67771101
28/9/2012,25.16722952,255.0999985,12.29421078,7.859285593,5.850000143,7.599397659
1/10/2012,25.65463891,253.3250046,12.47957223,7.92428565,5.889000177,7.599397421
2/10/2012,25.66451714,251.0899963,12.59007155,8.042143106,5.889000177,7.509035826
3/10/2012,25.6612226,252.8300018,12.6649279,8.635714531,5.91899991,7.334336996
4/10/2012,25.85553134,258.6949921,12.73265442,9.277143002,5.875,7.42771101
5/10/2012,25.78307712,259.6949921,12.78968638,9.522857189,5.848999977,7.509036541
8/10/2012,25.49327067,257.6799927,12.75047504,10.31071472,5.801000118,7.481927633
9/10/2012,25.44057576,255.0400009,12.61858638,9.63428545,5.736999989,7.451807499
10/10/2012,24.85108554,248.2350006,12.01973911,9.504285812,5.673000097,7.334336996
11/10/2012,24.96634959,245.5950012,12.00904484,9.452142715,5.72300005,7.307229042
12/10/2012,24.66665761,243.6850052,12.13737001,9.311428547,5.622999907,6.993975878
15/10/2012,24.58103142,241.6449966,12.09815692,9.184286118,5.491000175,7.012048006
16/10/2012,24.84119579,243.9250031,12.18371118,9.283571243,5.542999983,7.316264868
17/10/2012,25.0124458,246.0500031,12.26569121,9.604285717,5.664000034,7.620481968
18/10/2012,24.38672688,246.8050003,12.2942092,9.77071476,5.677000046,7.391566515
19/10/2012,23.75112515,242.8800049,12.24074393,9.411428452,5.549999952,7.195783615
22/10/2012,23.58975294,235.6350021,12.1979696,9.57285738,5.536000013,7.195783615
23/10/2012,23.41849687,233.2549973,12.55799023,9.657856941,5.592999935,7.298192501
24/10/2012,23.51730217,231.9449997,12.56512133,8.45714283,5.576999903,7.382530451
25/10/2012,23.70173118,226.9199982,12.66135819,8.683571815,5.524999857,6.942770958
26/10/2012,23.71160289,232.7000046,12.67205721,9.337857246,5.481999874,6.888554335
31/10/2012,23.78075932,234.5999985,12.63997119,10.75,5.572000027,6.906626463
1/11/2012,24.07386497,232.9449997,12.81820415,11.02428579,5.768999815,6.897590399
2/11/2012,24.40319621,234.7549973,12.89662237,11.12999964,5.809999943,6.891566515
5/11/2012,24.55468488,232.4700012,12.85028307,10.95999956,6.09100008,6.731927633
6/11/2012,25.03879633,236.0999985,12.98574204,11.11857128,6.114999771,6.768072605
7/11/2012,24.75228031,232.5400009,12.67205847,11.12000036,6.286000013,6.795180559
8/11/2012,24.53163317,230.2750015,12.7718631,11.15142822,6.282000065,6.756023884
9/11/2012,24.27475084,227.7850037,12.6756219,11.070714,6.07799983,6.891566038
12/11/2012,24.33733036,227.3150024,12.7112652,11.30857182,6.157999992,6.759036064
13/11/2012,24.08703621,226.3050003,12.75760435,11.30571365,6.272000074,6.768072605
14/11/2012,23.99152931,224.9599991,12.66849488,11.43357134,6.331999779,6.701807022
15/11/2012,23.82028338,221.6699982,12.55085931,11.52857161,6.194000006,6.617470026
16/11/2012,23.48108254,222.4449997,12.63640801,11.67285776,6.259000063,6.551204443
19/11/2012,24.69629192,229.9749985,12.84671656,11.65285683,6.509000063,6.659638405
20/11/2012,23.94872155,231.6600037,12.86453956,11.77285671,6.500999928,6.728915453
21/11/2012,23.74783429,235.7099991,12.80394313,11.93285704,6.575999975,6.659638643
23/11/2012,24.01458899,238.2399979,12.90375238,11.85214281,6.453000069,6.593373537
26/11/2012,24.39002195,241.1600037,12.95365863,11.63928556,6.39199996,6.578313589
27/11/2012,24.57773509,243.6049957,12.94296097,11.78999996,6.417999983,6.710843325
28/11/2012,24.68312252,244.3649979,12.83602775,11.81285715,6.619999886,6.753011942
29/11/2012,25.22322,249.9899979,12.93226669,11.68428564,6.687000036,6.825301409
30/11/2012,25.18369695,250.4599991,12.87879776,11.50285721,6.729000092,6.719879627
3/12/2012,25.28578874,252.0800018,12.86097742,11.24785709,6.849999905,6.695783615
4/12/2012,24.99927858,250.8300018,12.74691024,11.60714293,6.835000038,6.756024122
5/12/2012,25.37141853,252.965004,12.57581487,12.17857122,6.77699995,6.783132553
6/12/2012,25.31543127,253.3399963,12.97661334,12.16142893,6.829999924,6.728915453
7/12/2012,25.1244276,253.6100006,13.28669346,12.50500011,6.833999872,6.774096489
10/12/2012,25.14748317,251.0400009,13.35159863,12.25,6.898000002,6.840361357
11/12/2012,25.90822156,250.0649948,13.30111275,12.25928593,6.996000051,6.852409601
12/12/2012,26.52406114,252.2099991,13.45976263,12.79214287,7.074999809,6.795180559
13/12/2012,26.36598698,252.2799988,13.4633668,13.08499956,6.805000067,6.644578695
14/12/2012,26.33634903,249.8449936,13.46697549,13.33499956,6.799000025,6.593373537
17/12/2012,26.53065456,251.6299973,13.59317108,13.36428547,6.825000048,6.611445904
18/12/2012,27.1333149,258.8399963,13.83474582,13.69999981,6.933000088,6.581325531
19/12/2012,27.03122828,259.6750031,13.80229166,13.66071463,6.977999926,6.680722952
20/12/2012,26.94230822,259.4750061,13.71576283,13.36785698,6.884000063,6.674698353
21/12/2012,26.58004922,257.0600052,13.57514143,13.1421423,6.775000095,6.695783615
24/12/2012,26.9884151,258.2299957,13.42731474,12.93928623,6.789999962,6.710843563
26/12/2012,27.00488329,252.7300034,13.2903003,13.01999998,6.799999952,6.551204443
27/12/2012,26.70794023,246.1050034,13.24342285,12.85571384,6.690999985,6.533132553
28/12/2012,26.47354385,246.2450027,13.18934227,12.81785679,6.667000055,6.445783615
31/12/2012,26.6122,247.5800018,13.25064226,13.03642893,6.697000027,6.460843325
2/1/2013,27.5068659,255.6800003,13.69052356,13.32142878,7.016000032,6.542168379
3/1/2013,27.63891876,258.625,13.83113936,13.53214264,7.019999981,6.533132553
4/1/2013,27.99877001,258.2249908,13.82032301,13.80357122,6.871999979,6.509036541
7/1/2013,28.12091788,266.2000122,13.80950731,14.13357162,6.870000124,6.518072605
8/1/2013,28.02187299,266.2750092,13.80950817,14.12785721,6.761000156,6.581325531
9/1/2013,28.43784988,267.4499969,13.93930801,13.75,6.758999825,6.5542171
10/1/2013,28.87032493,265.519989,14.1989112,13.97285748,6.736999989,6.536144495
11/1/2013,28.83731056,266.269989,14.3287177,14.28000021,6.61500001,6.557229042
14/1/2013,28.53357979,270.9000092,14.06189902,14.64714241,6.623000145,6.587349653
15/1/2013,28.46095078,271.0149994,13.93570346,14.67214251,6.73300004,6.771084547
16/1/2013,28.42794368,269.5349884,13.91407112,14.21857166,6.796000004,6.713855505
17/1/2013,29.03539987,270.5899963,14.40443497,13.88214254,6.876999855,7.006023884
18/1/2013,28.96936363,272.0500031,14.69288558,14.32999992,6.859999895,6.843373537
22/1/2013,29.21696385,270.6650085,14.92003601,14.0171423,6.981000185,7.006023884
23/1/2013,29.29619518,268.8699951,15.17964642,14.34642839,7.120000124,7.087349415
24/1/2013,29.59001816,273.0099945,15.50414657,20.62785721,7.356000185,7.069277048
25/1/2013,29.78480126,279.5599976,15.88273554,22.73500061,7.434000015,7.042168617
28/1/2013,29.82771924,279.4400024,16.17479376,24.14571381,7.55700016,7.138554573
29/1/2013,29.54049488,266.9049988,16.38031652,23.3221426,7.55700016,7.322289467
30/1/2013,29.40184271,275.6549988,16.53535567,24.15428543,7.542999983,8.174698353
31/1/2013,29.44145694,269.8200073,16.53895866,23.52285671,7.480000019,7.879518032
1/2/2013,29.77819991,265.8649902,16.63270106,24.06285763,7.611999989,8.021084785
4/2/2013,29.33251261,261.875,16.84903792,24.13642883,7.601000071,8.039156675
5/2/2013,29.51738537,264.7449951,17.02210997,24.92071438,7.632999897,8.027108431
6/2/2013,29.59331703,264,17.13027768,25.70714283,7.728999853,7.960843563
7/2/2013,29.54379982,259.6050034,17.22041891,26.24428558,7.862999916,8.069277287
8/2/2013,29.82772407,262.8999939,17.47281148,25.99785709,7.914000034,8.033132553
11/2/2013,29.59002132,259.9250031,17.57377161,25.48928642,7.664999962,8.057229042
12/2/2013,29.53059907,258.5800018,17.75404722,25.66214275,7.616000175,8.493976116
13/2/2013,29.68576016,265.1299896,17.94154173,26.14714241,7.705000162,8.512048721
14/2/2013,29.42825419,268.0249939,17.90548793,26.75285816,7.696000099,8.424699306
15/2/2013,28.54018892,266.0149994,18.06412911,26.87571335,7.546000004,8.180722713
19/2/2013,28.17043231,267.3049927,17.67833292,27.66571426,7.659999847,8.415663242
20/2/2013,28.08460263,270.3349915,17.8477985,27.43714237,7.81099987,8.469879627
21/2/2013,27.6026036,266.3650055,17.60622236,26.76428604,7.193000078,8.496988297
22/2/2013,27.61581152,264.3599854,17.77207582,25.87285709,7.198999882,8.503011703
25/2/2013,27.56958428,264.1699982,17.70357561,25.89642811,7.108999968,8.466867447
26/2/2013,26.89941833,258.8850021,17.67833264,25.77285671,6.876000166,8.623494148
27/2/2013,27.31208925,261.344986,17.86221648,26.18285751,6.980999947,8.578313828
28/2/2013,27.5695931,263.8150024,17.95236132,26.83142853,7.046999931,8.457831383
1/3/2013,27.30548257,263.8200073,17.85500775,26.89642906,6.932999849,8.478915215
4/3/2013,27.63231653,268.7200012,18.08576274,26.195714,7.052999973,8.493975639
5/3/2013,28.23646477,273.3349915,18.21196176,25.95642853,7.270999908,8.373493671
6/3/2013,28.53027942,274.1599884,18.13264077,26.03857136,7.485000134,8.605421543
7/3/2013,28.48737109,273.3249969,18.17951145,25.61857128,7.552999973,8.382530212
8/3/2013,28.56990183,273.4700012,19.48113576,26.18285656,7.680000067,8.36445713
11/3/2013,27.97565819,272.1949921,19.61815571,25.96642876,7.809000015,8.451807499
12/3/2013,28.25627664,273.8799896,19.8200685,25.95857143,7.822999954,8.801204205
13/3/2013,28.21005298,274.5700073,20.08688254,27.28142929,7.829999924,8.774096489
14/3/2013,28.51707679,266.7649994,20.26672809,27.1257143,7.568000078,8.777108192
15/3/2013,28.42463644,263.6549988,20.08152512,26.75285816,7.18599987,8.936747074
18/3/2013,28.02187745,259.3049927,19.95079637,26.23714256,7.09800005,9.141566277
19/3/2013,27.86670994,256.0599976,20.07426662,26.14285755,7.053999901,9.042168617
20/3/2013,28.06479701,257.1550064,20.15415727,26.02000046,7.123000145,9.090361595
21/3/2013,27.86011286,254.8399963,20.288518,26.38357162,7.279999971,9.442770958
22/3/2013,27.30218018,254.9199982,20.36476969,25.95428562,7.299999952,9.265060425
25/3/2013,27.21634199,256.9649963,20.68433397,26.04357147,7.529000044,9
26/3/2013,27.44744271,258.8800049,20.86227289,26.8742857,7.588000059,8.740963459
27/3/2013,27.53327763,261.9149933,21.03294476,27.52785683,7.569000006,8.993975163
28/3/2013,27.67159425,265.7200012,21.21088171,27.25,7.598999977,9.225903511
1/4/2013,27.40341974,264.2050018,21.37066352,26.64071465,8.838000298,8.870481968
2/4/2013,27.13193293,263.2200012,21.31619028,25.80571461,8.901000023,8.888554096
3/4/2013,26.92004419,260.7100067,21.09830418,24.47071362,8.368000031,9.006023884
4/4/2013,27.1518022,258.2649994,20.79327672,23.85285664,8.305999756,9.10542202
5/4/2013,27.32064324,254.9249954,20.38656292,23.78785706,8.25,9.057229042
8/4/2013,27.44976795,257.6549988,20.52092503,23.23571491,8.406000137,9.153614521
9/4/2013,27.69808043,259.8049927,20.57540054,23.81571388,8.21600008,9.084337711
10/4/2013,27.82388909,262.6500092,20.87679718,23.88285732,8.262000084,9.04216814
11/4/2013,28.55888807,267.8549957,21.00026213,24.44428635,8.630000114,9.427710533
12/4/2013,29.20780542,270.144989,20.84411483,24.91714382,8.818999767,9.897590637
15/4/2013,28.96611455,271.1100006,20.292148,25.51071453,8.631000042,9.593373775
16/4/2013,28.66814457,270.4299927,19.97984504,25,9.004999638,9.707831383
17/4/2013,28.15496703,267.5500031,19.66754566,24.68999958,9.048999786,9.635541916
18/4/2013,27.72125187,261.7949982,19.51866284,23.83571434,9.299000263,9.469879627
19/4/2013,27.76760903,260.1900024,19.86001018,23.72857189,9.694999695,9.283132553
22/4/2013,27.67490407,261.3150024,19.97622124,24.44428635,9.795000076,9.367469788
23/4/2013,28.13179619,267.1849976,20.43377252,30.63500023,10.3579998,9.487952232
24/4/2013,28.277463,269.1399994,20.53908315,31.2514286,10.00299978,9.993976116
25/4/2013,28.44300789,273.1499939,20.42288028,30.86142826,10.28999996,10.25602388
26/4/2013,27.56564885,262.4149933,20.30304097,30.68928623,10.43599987,9.789156437
29/4/2013,27.39016863,253.0800018,20.55360792,30.69571495,10.61899996,9.771084785
30/4/2013,27.35044164,251.6199951,20.3066689,30.9992857,11.19399977,10.03614473
1/5/2013,27.47956955,249.9749985,20.12873598,30.64571381,10.89900017,9.954819202
2/5/2013,27.46632488,249.3549957,20.44466279,30.40285683,10.89699984,10.05120468
3/5/2013,27.84043976,256.9749985,20.69523698,30.78071404,11.09699965,10.09638548
6/5/2013,27.64842034,256.4599991,20.67707105,29.74785709,11.51600027,10.13855457
7/5/2013,27.91328431,256.3249969,20.52455472,29.72285748,11.74900007,10.12650585
8/5/2013,28.22449799,257.8149948,20.02342957,29.63785648,11.39100027,10.21987963
9/5/2013,28.41652022,260.2149963,20.0597433,30.38571453,13.9460001,10.21385574
10/5/2013,28.76746393,261.9299927,20.03068816,31.02214241,15.02500057,10.17469835
13/5/2013,28.56550782,263.9400024,20.10331589,31.91642952,16.71500015,10.15361452
14/5/2013,28.78401809,266.7149963,20.14326114,33.38500023,17.82699966,10.31325293
15/5/2013,30.2539985,266.8049927,20.61897168,34.51857185,16.4989996,10.35240936
16/5/2013,30.06529568,266.1399994,20.98936783,34.57499886,18.36600018,9.840361595
17/5/2013,30.0686051,267.4900055,21.22904243,34.1964283,18.19400024,10.10843325
20/5/2013,30.73738244,269.1450043,21.70475527,34.17214203,18.11299992,10.1566267
21/5/2013,30.84664683,269.2149963,21.22904243,33.99285889,17.52699947,9.972891808
22/5/2013,30.96913398,264.1949921,21.44328717,33.20285797,17.64599991,9.843373299
23/5/2013,30.17124473,261.3800049,21.00388972,32.12499905,17.60599995,9.406626225
24/5/2013,30.10832964,260.1349945,21.02931029,32.39285851,18.99499989,9.304216862
28/5/2013,30.80028237,268.5500031,21.49413968,32.06714344,21.10499954,9.325300694
29/5/2013,30.37650965,266.5449982,21.50502916,30.80642796,21.38999939,9.433734894
30/5/2013,30.81022365,267.0899963,21.6248696,31.03928661,21.07400036,9.325301647
31/5/2013,30.42617101,268.9250031,21.59217784,32.40214157,20.41699982,9.174698353
