date,AAP,FB,GOOG,MSFT,^DJI
5/9/2012,68.2788804,18.46500015,340.1351013,25.1167664,13057.3252
6/9/2012,68.85904537,18.98999977,344.8623657,25.56335824,13169.60498
7/9/2012,68.37074606,19.10000038,351.1637421,25.55508333,13293.24463
10/9/2012,68.00329969,18.875,351.4825592,25.39381651,13287.74463
11/9/2012,67.94527932,19.21500015,346.6132965,25.43930381,13303.7749
12/9/2012,68.15801313,20.72000027,342.6631165,25.60057371,13345.56982
13/9/2012,67.53917889,21.04500008,348.5784454,25.4641148,13449.22021
14/9/2012,66.26287725,21.48999977,353.6768341,25.66259836,13593.59033
17/9/2012,66.02595289,22.125,353.1463318,25.76184211,13559.91016
18/9/2012,65.08807416,21.67500019,355.0292511,25.73704116,13549.96484
19/9/2012,66.12324846,22.57000065,359.8935242,25.73290371,13591.61035
20/9/2012,66.15714376,22.89000034,361.7939148,25.79906016,13551.00977
21/9/2012,66.73779587,22.92000008,364.8922882,25.92724964,13609.31494
24/9/2012,65.86196045,21.17000008,368.6905518,25.51787084,13561.79004
25/9/2012,65.70711387,20.7149992,376.7254333,25.37314468,13538.72998
26/9/2012,65.43130066,20.28999996,374.1575623,25.07541117,13443.64014
27/9/2012,65.57646987,20.57999992,377.2086334,24.93068287,13468.1499
28/9/2012,65.91517523,21.22500038,376.2024078,24.81076198,13427.46484
1/10/2012,65.92970877,22.15999985,378.8823547,24.56265432,13517.95508
2/10/2012,66.04099376,22.15499973,377.6494751,24.55852111,13495.98975
3/10/2012,66.34101878,22.1449995,377.6146088,24.67016738,13487.69482
4/10/2012,66.66036209,21.90499973,380.8948059,24.64535505,13544.75488
5/10/2012,67.82166688,21.25499916,383.4103851,24.80663439,13615.31006
8/10/2012,68.00073779,20.45499992,378.0155945,24.59160151,13581.23486
9/10/2012,68.09749717,20.25999928,374.5585632,24.36417321,13532.81982
10/10/2012,67.39586954,19.69500065,370.0678864,24.09125363,13403.2251
11/10/2012,66.6313472,19.78499985,375.7889404,24.03335914,13377.30518
12/10/2012,66.02647736,19.63999939,373.3431244,24.03336048,13348.875
15/10/2012,65.22804093,19.68499947,367.2559357,24.38484719,13381.79492
16/10/2012,65.88130387,19.49499989,369.4776154,24.42205994,13490.06494
17/10/2012,65.65387429,19.92500019,372.7528229,24.28560057,13515.27539
18/10/2012,65.8764549,19.34000015,357.5149384,24.39311972,13549.83008
19/10/2012,66.04098909,18.92999935,343.3879089,23.81006083,13428.85498
22/10/2012,63.28283727,19.23999977,337.3181458,23.42963183,13301.8501
23/10/2012,64.17318551,19.44999981,338.5634918,23.14017025,13214.09033
24/10/2012,64.67641801,23.55000019,339.2957306,23.18566027,13109.41992
25/10/2012,65.46033613,22.88999939,337.6120453,23.18152157,13115.74023
